label,MSE,PSNR (dB),SSIM
Pipeline Combinado (NLM+CLAHE+Unsharp),675.9648272196451,19.831562621775007,0.624559958242361
Filtro Mediana,848.2775828043619,18.845423706940256,0.5951241853091793
Deconvolución Wiener,851.7299842834473,18.827784244599755,0.5124332544582587
Filtro Gaussiano,885.5487620035807,18.658678806201657,0.6014390377114408
Filtro Bilateral,891.4772109985352,18.629701151670634,0.6020685322072955
Non-Local Means,894.2774772644043,18.61608067857942,0.5832461035248117
Degradada (sin restaurar),962.1176363627116,18.298521851920505,0.3837165736281374
